KEYWORD_NAME,TAG_TYPE,MODULE,SOURCE_FILE,DOCUMENTATION,ARGUMENTS,NORMALIZED_TEXT
Page Theme Should Be Desired Mode,Unknown,Common,Resource/Common/page.resource,Gherkin wrapper for idempotent theme switching.,${DESIRED_MODE},page theme desired mode gherkin wrapper idempotent theme switching desired mode
Section Should Be Visible,Unknown,Common,Resource/Common/section.resource,Assert that a section locator is visible.,${NAME},section visible assert that section locator visible name
Section Should Contain Text,Unknown,Common,Resource/Common/section.resource,Assert that a section locator contains expected text.,${NAME}    ${EXPECTED_TEXT},section contain text assert that section locator contains expected text name expected text
Scroll To Section,Unknown,Common,Resource/Common/section.resource,Scroll to a section locator by name.,${NAME},scroll section scroll section locator by name name
The section should be updated with a new value,Unknown,Common,Resource/Common/section.resource,Assert that a section value changes after clicking its refresh/reset button.,${SECTION}    ${BUTTON_NAME}=New Quote,section updated new value assert that section value changes after clicking its refresh reset button section button name new quote
Section Value Should Change After Clicking Button,Unknown,Common,Resource/Common/section.resource,Click a button and verify the section text changed from its previous value.,${SECTION}    ${BUTTON_NAME}    ${old_value},section value change after clicking button click button verify section text changed from its previous value section button name old value
The section should be updated after clicking the button,Unknown,Common,Resource/Common/section.resource,Gherkin wrapper for asserting a section updates after clicking any button.,${SECTION}    ${BUTTON_NAME},section updated after clicking button gherkin wrapper asserting section updates after clicking any button section button name
Section Item Count Should Be At Least Items,Unknown,Common,Resource/Common/section.resource,Assert that list locator has at least expected item count.,${NAME}    ${MIN_COUNT}=1,section item count at least items assert that list locator has at least expected item count name min count 1
Section Item Count,Unknown,Common,Resource/Common/section.resource,Assert a section contains an exact number of child items.,${NAME}    ${ITEM_SELECTOR}=AUTO    ${EXPECTED_COUNT}=0,section item count assert section contains exact number child items name item selector auto expected count 0
Resolve Section Item Selector,Unknown,Common,Resource/Common/section.resource,Resolve effective item selector for a section.,${NAME}    ${ITEM_SELECTOR}=AUTO,resolve section item selector resolve effective item selector section name item selector auto
Section Should Be Empty,Unknown,Common,Resource/Common/section.resource,Assert that a section has no child items.,${NAME},section empty assert that section has no child items name
Validate Section Is In View,Unknown,Common,Resource/Common/section.resource,Assert that the section is currently inside the viewport.,${NAME},validate section in view assert that section currently inside viewport name
Click Tab,Unknown,Common,Resource/Common/tab.resource,Click a tab locator by logical name.,${NAME},click tab click tab locator by logical name name
Tab Should Be Visible,Unknown,Common,Resource/Common/tab.resource,Assert that a tab locator is visible.,${NAME},tab visible assert that tab locator visible name
Click Text,Unknown,Common,Resource/Common/text.resource,Click a text locator by logical name.,${NAME},click text click text locator by logical name name
Text Should Be Visible,Unknown,Common,Resource/Common/text.resource,Assert that a text locator is visible.,${NAME},text visible assert that text locator visible name
Fill Textbox With Value,Unknown,Common,Resource/Common/textbox.resource,Fill a textbox locator with provided value.,${TEXTBOX}    ${VALUE},fill textbox value fill textbox locator provided value textbox value
Fill Textbox,Unknown,Common,Resource/Common/textbox.resource,Fill a textbox locator with provided value.,${TEXTBOX}    ${VALUE},fill textbox fill textbox locator provided value textbox value
Clear Textbox,Unknown,Common,Resource/Common/textbox.resource,Clear a textbox locator value.,${TEXTBOX},clear textbox clear textbox locator value textbox
Textbox Should Be Visible,Unknown,Common,Resource/Common/textbox.resource,validate that a textbox locator is visible.,${TEXTBOX},textbox visible validate that textbox locator visible textbox
Textbox Contain Value,Unknown,Common,Resource/Common/textbox.resource,validate textbox value contains expected text.,${TEXTBOX}    ${EXPECTED_VALUE},textbox contain value validate textbox value contains expected text textbox expected value
Textbox Should Be Empty,Unknown,Common,Resource/Common/textbox.resource,validate that a textbox locator is empty.,${TEXTBOX},textbox empty validate that textbox locator empty textbox
Set Value In The Textbox,Unknown,Common,Resource/Common/textbox.resource,Gherkin wrapper for filling a textbox with a value.,${TEXTBOX}    ${VALUE},set value in textbox gherkin wrapper filling textbox value textbox value
Select Challenge Category,Unknown,challenge,Resource/Modules/challenge/Challenge.resource,Select a challenge category by name.,${CATEGORY},select challenge category select challenge category by name category
Start Challenge Card At Index,Unknown,challenge,Resource/Modules/challenge/Challenge.resource,Start a challenge card by index.,${INDEX}=1,start challenge card at index start challenge card by index index 1
Select Learn Option At Index,Unknown,learn,Resource/Modules/learn/Learn.resource,Select a learn option by index.,${INDEX}=1,select learn option at index select learn option by index index 1
Fill Learn Blank Input Answer,Unknown,learn,Resource/Modules/learn/Learn.resource,Fill the blank input with the provided answer.,${ANSWER},fill learn blank input answer fill blank input provided answer answer
Submit Learn Check,Unknown,learn,Resource/Modules/learn/Learn.resource,Submit the current learn exercise for checking.,,submit learn check submit current learn exercise checking
Try Learn Again,Unknown,learn,Resource/Modules/learn/Learn.resource,Retry the current learn exercise.,,try learn again retry current learn exercise
Exit Learn Session,Unknown,learn,Resource/Modules/learn/Learn.resource,Exit the learn session and return to the main page.,,exit learn session exit learn session return main page
Navigate To Sign In Page,Unknown,login,Resource/Modules/login/Signin.resource,Navigate to the Sign In page from the Welcome Page.,,navigate sign in navigate sign in from welcomepage
Sign In Page Validation,Unknown,login,Resource/Modules/login/Signin.resource,Validate sign-in form fields and actions are visible.,,sign in validation validate sign in form fields actions visible
Fill Sign In Form,Unknown,login,Resource/Modules/login/Signin.resource,Fill sign-in form fields with provided credentials.,${EMAIL}    ${PASSWORD},fill sign in form fill sign in form fields provided credentials email password
Sign In With Credentials,Unknown,login,Resource/Modules/login/Signin.resource,Fill and submit sign-in form with provided credentials.,,sign in credentials fill submit sign in form provided credentials
Sign In Error Should Contain Text,Unknown,login,Resource/Modules/login/Signin.resource,Assert sign-in notification area contains expected error text.,${EXPECTED_TEXT},sign in error contain text assert sign in notification area contains expected error text expected text
Error Message Should Be Visible,Unknown,login,Resource/Modules/login/Signin.resource,Assert that the error message box is visible.,,notification visible assert that notification box visible
Main Page Validation,Unknown,mainpage,Resource/Modules/mainpage/mainpage.resource,Validate core main layout panels are visible.,,main page validation validate core main page panels visible
Open Main Menu,Unknown,mainpage,Resource/Modules/mainpage/mainpage.resource,Open the main menu panel if available.,,open main menu open main menu panel if available
Close Main Menu,Unknown,mainpage,Resource/Modules/mainpage/mainpage.resource,Close the main menu panel if it is open.,,close main menu close main menu panel if it open
Open Page From Main Menu,Unknown,mainpage,Resource/Modules/mainpage/mainpage.resource,Open the specified page from the main menu.,${PAGE},open page from main menu open specified page from main menu page
Cancel Logout From Main Menu,Unknown,mainpage,Resource/Modules/mainpage/mainpage.resource,Open the logout modal and cancel the action.,,cancel logout from main menu open logout modal cancel action
Confirm Logout From Main Menu,Unknown,mainpage,Resource/Modules/mainpage/mainpage.resource,Open the logout modal and confirm logout.,,confirm logout from main menu open logout modal confirm logout
Refresh Main Quote,Unknown,mainpage,Resource/Modules/mainpage/mainpage.resource,Refresh the daily quote from the top bar.,,refresh main quote refresh daily quote from topbar
Start Lesson From Main Page,Unknown,mainpage,Resource/Modules/mainpage/mainpage.resource,Start the next lesson from the right bar.,,start lesson from main page start next lesson from rightbar
Start Challenge From Main Page,Unknown,mainpage,Resource/Modules/mainpage/mainpage.resource,Start the challenge from the right bar.,,start challenge from main page start challenge from rightbar
Set Daily Goal Target,Unknown,mainpage,Resource/Modules/mainpage/mainpage.resource,Set the daily goal target value from the main page.,${VALUE},set daily goal target set daily goal target value from main page value
Advance Quick Practice,Unknown,mainpage,Resource/Modules/mainpage/mainpage.resource,Advance to the next quick practice prompt.,,advance quick practice advance next quick practice prompt
Reset Quick Practice,Unknown,mainpage,Resource/Modules/mainpage/mainpage.resource,Reset the quick practice widget.,,reset quick practice reset quick practice widget
Select Quick Practice Option At Index,Unknown,mainpage,Resource/Modules/mainpage/mainpage.resource,Select a quick practice option by index.,${INDEX}=1,select quick practice option at index select quick practice option by index index 1
Enable Dark Mode,Unknown,mainpage,Resource/Modules/mainpage/mainpage.resource,Toggle dark mode from the top bar.,,enable dark mode toggle dark mode from topbar
Profile Page Validation,Unknown,profile,Resource/Modules/profile/Profile.resource,Validate profile panels are visible.,,profile page validation validate profile panels visible
Profile Stats Should Be Visible,Unknown,profile,Resource/Modules/profile/Profile.resource,Validate profile stat cards are visible.,,profile stats visible validate profile stat cards visible
Profile Message Should Be Visible,Unknown,profile,Resource/Modules/profile/Profile.resource,Assert profile loading message is visible.,${MESSAGE},profile message visible assert profile loading message visible message
Pronunciation Page Should Be Ready,Unknown,pronunciation,Resource/Modules/pronunciation/Pronunciation.resource,Validate pronunciation groups and sounds are visible.,,pronunciation page ready validate pronunciation groups sounds visible
Select Pronunciation Group At Index,Unknown,pronunciation,Resource/Modules/pronunciation/Pronunciation.resource,Select a pronunciation group by index.,${INDEX}=01,select pronunciation group at index select pronunciation group by index index 01
Select Pronunciation Sound At Index,Unknown,pronunciation,Resource/Modules/pronunciation/Pronunciation.resource,Select a pronunciation sound by index.,${INDEX}=1,select pronunciation sound at index select pronunciation sound by index index 1
Pronunciation Message Should Be Visible,Unknown,pronunciation,Resource/Modules/pronunciation/Pronunciation.resource,Assert the pronunciation loading message is visible.,${MESSAGE},pronunciation message visible assert pronunciation loading message visible message
Ranking Page Validation,Unknown,ranking,Resource/Modules/ranking/Ranking.resource,Validate ranking content panels are visible.,,ranking page validation validate ranking content panels visible
Sign Up Page Validation,Unknown,register,Resource/Modules/register/Signup.resource,Validate sign-up form fields and actions are visible.,,sign up validation validate sign up form fields actions visible
Fill Registration Form,Unknown,register,Resource/Modules/register/Signup.resource,Fill the registration form fields with provided values.,${FIRST_NAME}= Chi Thien    ${LAST_NAME}= Nguyen    ${USERNAME}= nct0804    ${EMAIL}= test@gmail.com    ${PASSWORD}= testpass123    ${CONFIRM_PASSWORD}= testpass123,fill registration form fill registration form fields provided values first name chi thien last name nguyen username nct0804 email test gmail com password testpass123 confirm password testpass123
Submit Registration,Unknown,register,Resource/Modules/register/Signup.resource,Submit the registration form using provided values.,${FIRST_NAME}= Chi Thien    ${LAST_NAME}= Nguyen    ${USERNAME}= nct0804    ${EMAIL}= test@gmail.com    ${PASSWORD}= testpass123    ${CONFIRM_PASSWORD}= testpass123,submit registration submit registration form provided values first name chi thien last name nguyen username nct0804 email test gmail com password testpass123 confirm password testpass123
Create New Account,Unknown,register,Resource/Modules/register/Signup.resource,Fill and submit registration form with provided values.,${FIRST_NAME}= Chi Thien    ${LAST_NAME}= Nguyen    ${USERNAME}= nct0804    ${EMAIL}= test@gmail.com    ${PASSWORD}= testpass123    ${CONFIRM_PASSWORD}= testpass123,create new account fill submit registration form provided values first name chi thien last name nguyen username nct0804 email test gmail com password testpass123 confirm password testpass123
Registration Error Should Be Visible,Unknown,register,Resource/Modules/register/Signup.resource,Assert registration error message box is visible.,,registration error visible assert registration notification box visible
Verify Registration Status,Unknown,register,Resource/Modules/register/Signup.resource,Verify registration notification title for expected status.,${STATUS},verify registration status verify registration notification title expected status status
Welcome Page Validation,Unknown,welcomepage,Resource/Modules/welcomepage/Welcomepage.resource,Validate core welcome page sections are visible.,,welcomepage validation validate core welcomepage sections visible
